,value,measure,Location,Group
5_15_drySt-28F,2.46072934,Shannon,Fecal,Vdr-/-
20_12_CeSt-28F,2.339725279,Shannon,Cecal,Vdr-/-
1_11_drySt-28F,2.228022657,Shannon,Fecal,Vdr-/-
2_12_drySt-28F,2.734405102,Shannon,Fecal,Vdr-/-
3_13_drySt-28F,2.077281688,Shannon,Fecal,Vdr-/-
4_14_drySt-28F,2.466829756,Shannon,Fecal,Vdr-/-
7_22_drySt-28F,1.777170948,Shannon,Fecal,WT
8_23_drySt-28F,1.999559142,Shannon,Fecal,WT
9_24_drySt-28F,1.971996049,Shannon,Fecal,WT
19_11_CeSt-28F,1.344812855,Shannon,Cecal,Vdr-/-
21_13_CeSt-28F,2.016112526,Shannon,Cecal,Vdr-/-
22_14_CeSt-28F,1.955432548,Shannon,Cecal,Vdr-/-
23_15_CeSt-28F,1.614456295,Shannon,Cecal,Vdr-/-
25_22_CeSt-28F,1.958838962,Shannon,Cecal,WT
26_23_CeSt-28F,2.270817753,Shannon,Cecal,WT
27_24_CeSt-28F,2.002195101,Shannon,Cecal,WT